age,years_experience,education_level,department,performance_score,performance_category
34,19,Phd,Tech,10.0,Excellent
27,20,High School,Tech,9.0,Very Good
33,32,Phd,Sales,2.0,Poor
42,7,Bachelor,Finance,10.0,Excellent
59,33,Master,Tech,2.0,Poor
40,39,High School,Finance,5.0,Average
35,18,Phd,HR,5.0,Average
37,1,High School,Tech,6.0,Good
43,11,Phd,Tech,3.0,Poor
45,28,High School,HR,8.0,Very Good
44,25,Phd,Tech,1.0,Poor
48,23,Phd,Finance,6.0,Good
34,31,Bachelor,Sales,4.0,Average
20,30,Phd,Finance,1.0,Poor
44,35,Bachelor,Sales,7.0,Good
26,7,Phd,Sales,9.0,Very Good
28,16,Master,Finance,4.0,Average
43,26,Master,Finance,4.0,Average
20,2,Master,Finance,6.0,Good
27,1,Phd,Finance,3.0,Poor
43,12,Bachelor,HR,6.0,Good
30,5,Bachelor,Tech,7.0,Good
36,37,Phd,Sales,10.0,Excellent
27,32,Master,Finance,10.0,Excellent
54,9,Master,Finance,3.0,Poor
54,35,Bachelor,Finance,7.0,Good
52,19,Master,HR,3.0,Poor
24,16,High School,Finance,2.0,Poor
58,3,Bachelor,Finance,10.0,Excellent
47,20,Master,Finance,4.0,Average
26,24,Bachelor,Tech,8.0,Very Good
28,33,High School,HR,9.0,Very Good
27,24,Bachelor,Finance,7.0,Good
31,11,Bachelor,Sales,1.0,Poor
53,8,Bachelor,Sales,3.0,Poor
52,36,Bachelor,Sales,9.0,Very Good
42,38,High School,HR,1.0,Poor
43,20,Phd,HR,9.0,Very Good
56,35,Bachelor,Sales,8.0,Very Good
54,25,Bachelor,Finance,1.0,Poor
59,35,Master,HR,6.0,Good
41,25,Bachelor,Sales,5.0,Average
46,29,Master,Sales,6.0,Good
54,18,Phd,Finance,10.0,Excellent
20,18,High School,Tech,5.0,Average
54,2,High School,HR,6.0,Good
56,35,Phd,Finance,5.0,Average
33,16,High School,Sales,5.0,Average
22,36,Phd,Sales,4.0,Average
20,33,Phd,Finance,3.0,Poor
24,4,Phd,HR,3.0,Poor
45,33,High School,Tech,4.0,Average
33,14,Master,Tech,9.0,Very Good
58,21,Phd,Sales,2.0,Poor
46,20,Bachelor,HR,9.0,Very Good
28,8,High School,Tech,1.0,Poor
34,7,Phd,HR,1.0,Poor
34,3,Phd,HR,5.0,Average
45,17,Bachelor,Sales,6.0,Good
32,33,Master,Tech,6.0,Good
51,12,Master,Finance,3.0,Poor
58,22,Master,Sales,7.0,Good
51,22,Phd,Tech,9.0,Very Good
23,30,Phd,Tech,10.0,Excellent
49,38,Phd,Tech,8.0,Very Good
56,38,High School,Tech,6.0,Good
42,8,Bachelor,Tech,8.0,Very Good
58,27,Phd,HR,5.0,Average
34,27,Bachelor,Sales,8.0,Very Good
48,34,Bachelor,HR,10.0,Excellent
55,21,Master,Finance,4.0,Average
32,30,High School,Tech,10.0,Excellent
51,33,Phd,Sales,8.0,Very Good
26,28,Master,Tech,10.0,Excellent
41,33,Master,Sales,2.0,Poor
47,5,Phd,HR,5.0,Average
21,19,Bachelor,Sales,9.0,Very Good
25,4,Master,Finance,4.0,Average
47,35,Bachelor,Finance,6.0,Good
47,17,High School,Sales,1.0,Poor
39,28,Bachelor,Sales,9.0,Very Good
